architecture,seed,metric,contrast
recurrent,9,gain,0.00856612986269556
recurrent,9,broadcast,-0.004242359264874124
recurrent,9,persistence,-0.052572926732546765
recurrent,9,concentration,0.008634320003149898
recurrent,10,gain,-0.0013510062474669793
recurrent,10,broadcast,0.00424709190601566
recurrent,10,persistence,0.1726970108686225
recurrent,10,concentration,-0.003617737321487069
recurrent,13,gain,0.014402200838001589
recurrent,13,broadcast,-0.02242098297193436
recurrent,13,persistence,0.2302633826208198
recurrent,13,concentration,0.011384378651489668
recurrent,14,gain,0.01009526515320136
recurrent,14,broadcast,-0.013330225502091397
recurrent,14,persistence,-0.1544666370471235
recurrent,14,concentration,0.009875062748814334
recurrent,15,gain,0.016615584482199464
recurrent,15,broadcast,-0.02916623096175691
recurrent,15,persistence,-0.007039452265676427
recurrent,15,concentration,0.010044794500932097
recurrent,17,gain,-0.000788494064139611
recurrent,17,broadcast,0.00772554982204951
recurrent,17,persistence,0.16362226910837996
recurrent,17,concentration,-0.0038449615547980764
recurrent,18,gain,0.0004253496014998692
recurrent,18,broadcast,0.0005037919969873017
recurrent,18,persistence,-0.011078130130671937
recurrent,18,concentration,0.00025177668009623844
recurrent,19,gain,0.01806238770680524
recurrent,19,broadcast,-0.024351773756483897
recurrent,19,persistence,-0.17426722505340875
recurrent,19,concentration,0.035581162924967824
shared_workspace,0,gain,0.00018177654906070817
shared_workspace,0,broadcast,0.0023133792976296474
shared_workspace,0,persistence,0.011299612894556832
shared_workspace,0,concentration,-0.0008726754823135119
shared_workspace,1,gain,-0.00020564061340938578
shared_workspace,1,broadcast,0.0001622033800570133
shared_workspace,1,persistence,-0.010361271172792064
shared_workspace,1,concentration,-0.00013046964996199506
shared_workspace,2,gain,0.0004593677666832052
shared_workspace,2,broadcast,0.001234598271809828
shared_workspace,2,persistence,-0.020032305710024678
shared_workspace,2,concentration,2.439020803068903e-05
shared_workspace,5,gain,0.0009805282311229346
shared_workspace,5,broadcast,0.005158482159840605
shared_workspace,5,persistence,-0.002419184888432291
shared_workspace,5,concentration,-0.0021050542075058964
shared_workspace,6,gain,2.232500118165559e-05
shared_workspace,6,broadcast,5.4707631112205224e-05
shared_workspace,6,persistence,-0.0009458750104089919
shared_workspace,6,concentration,2.8673369396048365e-06
shared_workspace,7,gain,-0.0003900967765404495
shared_workspace,7,broadcast,0.0023645663190768884
shared_workspace,7,persistence,-0.0028449512394446153
